Plot,Treatment,Rep,Emergence,DatePlanted,DateCounted,DaysAfterPlanting
101,1,1,180.5,9-May-22,16-May-22,7
102,2,1,54.5,9-May-22,16-May-22,7
103,3,1,195,9-May-22,16-May-22,7
104,4,1,198.5,9-May-22,16-May-22,7
105,5,1,202,9-May-22,16-May-22,7
106,6,1,184,9-May-22,16-May-22,7
107,7,1,187.5,9-May-22,16-May-22,7
108,8,1,173.5,9-May-22,16-May-22,7
109,9,1,182,9-May-22,16-May-22,7
201,6,2,180.5,9-May-22,16-May-22,7
202,4,2,184,9-May-22,16-May-22,7
203,8,2,199,9-May-22,16-May-22,7
204,9,2,182,9-May-22,16-May-22,7
205,3,2,206,9-May-22,16-May-22,7
206,1,2,195,9-May-22,16-May-22,7
207,2,2,41.5,9-May-22,16-May-22,7
208,5,2,183.5,9-May-22,16-May-22,7
209,7,2,176.5,9-May-22,16-May-22,7
301,9,3,191.5,9-May-22,16-May-22,7
302,3,3,190,9-May-22,16-May-22,7
303,6,3,208.5,9-May-22,16-May-22,7
304,8,3,192.5,9-May-22,16-May-22,7
305,5,3,194,9-May-22,16-May-22,7
306,2,3,34.5,9-May-22,16-May-22,7
307,1,3,161,9-May-22,16-May-22,7
308,7,3,183.5,9-May-22,16-May-22,7
309,4,3,176.5,9-May-22,16-May-22,7
401,4,4,180,9-May-22,16-May-22,7
402,8,4,200.5,9-May-22,16-May-22,7
403,1,4,192.5,9-May-22,16-May-22,7
404,3,4,182.5,9-May-22,16-May-22,7
405,2,4,52.5,9-May-22,16-May-22,7
406,6,4,184,9-May-22,16-May-22,7
407,5,4,184.5,9-May-22,16-May-22,7
408,9,4,183,9-May-22,16-May-22,7
409,7,4,181,9-May-22,16-May-22,7
101,1,1,189,9-May-22,23-May-22,14
102,2,1,67,9-May-22,23-May-22,14
103,3,1,203,9-May-22,23-May-22,14
104,4,1,216,9-May-22,23-May-22,14
105,5,1,220,9-May-22,23-May-22,14
106,6,1,201.5,9-May-22,23-May-22,14
107,7,1,193,9-May-22,23-May-22,14
108,8,1,191,9-May-22,23-May-22,14
109,9,1,189,9-May-22,23-May-22,14
201,6,2,192,9-May-22,23-May-22,14
202,4,2,187,9-May-22,23-May-22,14
203,8,2,202,9-May-22,23-May-22,14
204,9,2,194.5,9-May-22,23-May-22,14
205,3,2,209,9-May-22,23-May-22,14
206,1,2,210,9-May-22,23-May-22,14
207,2,2,52,9-May-22,23-May-22,14
208,5,2,194,9-May-22,23-May-22,14
209,7,2,176,9-May-22,23-May-22,14
301,9,3,193.5,9-May-22,23-May-22,14
302,3,3,193.5,9-May-22,23-May-22,14
303,6,3,207,9-May-22,23-May-22,14
304,8,3,198,9-May-22,23-May-22,14
305,5,3,200.5,9-May-22,23-May-22,14
306,2,3,42.5,9-May-22,23-May-22,14
307,1,3,175,9-May-22,23-May-22,14
308,7,3,196.5,9-May-22,23-May-22,14
309,4,3,193.5,9-May-22,23-May-22,14
401,4,4,180,9-May-22,23-May-22,14
402,8,4,204.5,9-May-22,23-May-22,14
403,1,4,195,9-May-22,23-May-22,14
404,3,4,197.5,9-May-22,23-May-22,14
405,2,4,68,9-May-22,23-May-22,14
406,6,4,200.5,9-May-22,23-May-22,14
407,5,4,199.5,9-May-22,23-May-22,14
408,9,4,204,9-May-22,23-May-22,14
409,7,4,193,9-May-22,23-May-22,14
101,1,1,189,9-May-22,30-May-22,21
102,2,1,72,9-May-22,30-May-22,21
103,3,1,206.5,9-May-22,30-May-22,21
104,4,1,216,9-May-22,30-May-22,21
105,5,1,221,9-May-22,30-May-22,21
106,6,1,203.5,9-May-22,30-May-22,21
107,7,1,191.5,9-May-22,30-May-22,21
108,8,1,193.5,9-May-22,30-May-22,21
109,9,1,189,9-May-22,30-May-22,21
201,6,2,197,9-May-22,30-May-22,21
202,4,2,196,9-May-22,30-May-22,21
203,8,2,205.5,9-May-22,30-May-22,21
204,9,2,195.5,9-May-22,30-May-22,21
205,3,2,209,9-May-22,30-May-22,21
206,1,2,210,9-May-22,30-May-22,21
207,2,2,53,9-May-22,30-May-22,21
208,5,2,201,9-May-22,30-May-22,21
209,7,2,176,9-May-22,30-May-22,21
301,9,3,190,9-May-22,30-May-22,21
302,3,3,199.5,9-May-22,30-May-22,21
303,6,3,215.5,9-May-22,30-May-22,21
304,8,3,199,9-May-22,30-May-22,21
305,5,3,200,9-May-22,30-May-22,21
306,2,3,41,9-May-22,30-May-22,21
307,1,3,177.5,9-May-22,30-May-22,21
308,7,3,202.5,9-May-22,30-May-22,21
309,4,3,192,9-May-22,30-May-22,21
401,4,4,183.5,9-May-22,30-May-22,21
402,8,4,204,9-May-22,30-May-22,21
403,1,4,195,9-May-22,30-May-22,21
404,3,4,197,9-May-22,30-May-22,21
405,2,4,73.5,9-May-22,30-May-22,21
406,6,4,200,9-May-22,30-May-22,21
407,5,4,196,9-May-22,30-May-22,21
408,9,4,201.5,9-May-22,30-May-22,21
409,7,4,192.5,9-May-22,30-May-22,21
101,1,1,189,9-May-22,6-Jun-22,28
102,2,1,72,9-May-22,6-Jun-22,28
103,3,1,206,9-May-22,6-Jun-22,28
104,4,1,215,9-May-22,6-Jun-22,28
105,5,1,221,9-May-22,6-Jun-22,28
106,6,1,203.5,9-May-22,6-Jun-22,28
107,7,1,191,9-May-22,6-Jun-22,28
108,8,1,193,9-May-22,6-Jun-22,28
109,9,1,189,9-May-22,6-Jun-22,28
201,6,2,195,9-May-22,6-Jun-22,28
202,4,2,195,9-May-22,6-Jun-22,28
203,8,2,213,9-May-22,6-Jun-22,28
204,9,2,195,9-May-22,6-Jun-22,28
205,3,2,209,9-May-22,6-Jun-22,28
206,1,2,210,9-May-22,6-Jun-22,28
207,2,2,53,9-May-22,6-Jun-22,28
208,5,2,200,9-May-22,6-Jun-22,28
209,7,2,172,9-May-22,6-Jun-22,28
301,9,3,191,9-May-22,6-Jun-22,28
302,3,3,199,9-May-22,6-Jun-22,28
303,6,3,210,9-May-22,6-Jun-22,28
304,8,3,193.5,9-May-22,6-Jun-22,28
305,5,3,200,9-May-22,6-Jun-22,28
306,2,3,40,9-May-22,6-Jun-22,28
307,1,3,178,9-May-22,6-Jun-22,28
308,7,3,202,9-May-22,6-Jun-22,28
309,4,3,191,9-May-22,6-Jun-22,28
401,4,4,182,9-May-22,6-Jun-22,28
402,8,4,204,9-May-22,6-Jun-22,28
403,1,4,196,9-May-22,6-Jun-22,28
404,3,4,196,9-May-22,6-Jun-22,28
405,2,4,73,9-May-22,6-Jun-22,28
406,6,4,201,9-May-22,6-Jun-22,28
407,5,4,197,9-May-22,6-Jun-22,28
408,9,4,204,9-May-22,6-Jun-22,28
409,7,4,193,9-May-22,6-Jun-22,28
